Campus,Campus.Specialty,Department,Arrived 2022 YTD,Campus Corrected,Campus.Specialty Corrected,Notes
MSDD,OB/Gyn,729 7TH AVE GYN,752,,,
MSDD,Internal Medicine,729 7TH AVE IM,0,,,
MSDD,Internal Medicine,729 7TH AVE INTERNAL MEDICINE,2785,,,
MSDD,Podiatry,729 7TH AVE PODIATRY,597,,,
MSDD,Dermatology,780 8TH AVE DERMATOLOGY,305,,,
MSDD,Gastroenterology,780 8TH AVE GASTROENTEROLOGY,0,,,
MSDD,Internal Medicine,780 8TH AVE INTERNAL MEDICINE,2828,,,
MSDD,OB/Gyn,780 8TH AVE OBGYN,602,,,
MSDD,Orthopedics,780 8TH AVE ORTHOPEDICS,51,,,
MSDD,Internal Medicine,MS BI 55E 34TH IM 1FL,0,,,
MSDD,Ophthalmology,MS BI OPHTH 55 E 34TH,0,,,
MSDD,Physical Medicine and Rehab,NEW 55 E 34TH ST REHAB FLUOROSCOPY,241,,,
MSH- AMBULATORY CARE,Pulmonary Disease and Critical Care,10 E 102 PULMONARY,5590,,,
MSH- AMBULATORY CARE,Gynecology,1176 5TH AVE GYNECOLOGY CLINIC,3091,,,
MSH- AMBULATORY CARE,OB/Gyn,1176 5TH AVE OBGYN SOCIAL WORK,601,,,
MSH- AMBULATORY CARE,OB/Gyn,1176 5TH AVE OBGYN ULTRASOUND,5,,,
MSH- AMBULATORY CARE,Obstetrics,1176 5TH AVE OBSTETRICS CLINIC,4043,,,
MSH- AMBULATORY CARE,Obstetrics,1176 5TH AVE OBSTETRICS HIGH RISK,565,,,
MSH- AMBULATORY CARE,Obstetrics,1176 5TH AVE OBSTETRICS ULTRASOUND NST,184,,,
MSH- AMBULATORY CARE,Geriatrics,1440 MADISON GERI HOME CERTS,70,,,
MSH- AMBULATORY CARE,Gerontology,1440 MADISON GERIATRICS,2,,,
MSH- AMBULATORY CARE,Peds Gastroenterology,1468 HOSP PEDS GI,0,,,
MSH- AMBULATORY CARE,Endocrinology,1468 MADISON ALD CLINIC PEDIATRIC ENDOCRINOLOGY,6,,,
MSH- AMBULATORY CARE,Neurology,1468 MADISON AVE ALD CLINIC NEUROLOGY,6,,,
MSH- AMBULATORY CARE,Dermatology,1468 MADISON AVE DERMATOLOGY,500,,,
MSH- AMBULATORY CARE,Peds Child Development,1468 MADISON AVE HOSP PED CHILD DEVELOP,18,,,
MSH- AMBULATORY CARE,Peds Allergy,1468 MADISON AVE HOSP PEDS ALLERGY,148,,,
MSH- AMBULATORY CARE,Peds Chest,1468 MADISON AVE HOSP PEDS CHEST,0,,,
MSH- AMBULATORY CARE,Peds Gastroenterology,1468 MADISON AVE HOSP PEDS GI,170,,,
MSH- AMBULATORY CARE,Peds GU,1468 MADISON AVE HOSP PEDS GU,101,,,
MSH- AMBULATORY CARE,Peds Neurology,1468 MADISON AVE HOSP PEDS NEURO,345,,,
MSH- AMBULATORY CARE,Neurology,1468 MADISON AVE NEURO STROKE,50,,,
MSH- AMBULATORY CARE,Neurology,1468 MADISON AVE NEUROLOGY,2545,,,
MSH- AMBULATORY CARE,ENT-Otolaryngology,1468 MADISON AVE OMS,495,,,
MSH- AMBULATORY CARE,Pediatrics,1468 MADISON AVE PEDS ENT,89,,,
MSH- AMBULATORY CARE,Pediatrics,1468 MADISON HOSP PEDS GEN,5568,,,
MSH- AMBULATORY CARE,Internal Medicine,1468 MADISON PEDIATRIC VACCINE POD,830,,,
MSH- AMBULATORY CARE,Gastroenterology,17 E 102 GASTRO IBD,5181,,,
MSH- AMBULATORY CARE,Genetics,17 E 102 GENETICS 132,0,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102 IMA PACT HSE CALL,0,,,
MSH- AMBULATORY CARE,Physical Medicine and Rehab,17 E 102 MSH REHAB MEDICINE,10,,,
MSH- AMBULATORY CARE,Speech Therapy,17 E 102 MSH SPEECH THERAPY,26,,,
MSH- AMBULATORY CARE,Ophthalmology,17 E 102 OPHTH EYE INFIRMARY,4421,,,
MSH- AMBULATORY CARE,Ophthalmology,17 E 102 OPHTHALMOLOGY,0,,,
MSH- AMBULATORY CARE,Dermatology,17 E 102ND BIOLOGICS TREATMENT CENTER,444,,,
MSH- AMBULATORY CARE,Endocrinology,17 E 102ND HOSP DIAB CLIN,462,,,
MSH- AMBULATORY CARE,Endocrinology,17 E 102ND HOSP ENDO/THYR,478,,,
MSH- AMBULATORY CARE,Ophthalmology,17 E 102ND HOSP OPHTH,643,,,
MSH- AMBULATORY CARE,Infectious Diseases/HIV,17 E 102ND IAM,4253,,,
MSH- AMBULATORY CARE,Infectious Diseases/HIV,17 E 102ND IAM PEDS,191,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA DIAB EX PRG,0,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA FIRM A,3376,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA FIRM B,3833,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA FIRM C,3111,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA FIRM D,3441,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA PACT,740,,,
MSH- AMBULATORY CARE,Internal Medicine,17 E 102ND IMA UNASSIGNED,245,,,
MSH- AMBULATORY CARE,Liver,17 E 102ND LIVER DISEASE,2530,,,
ONCOLOGY,Multiple Specialty,10 E 102ND ST INFUSION WHITE BAG,90,,Oncology,
MSH- AMBULATORY CARE,Physical Medicine and Rehab,17 E 102ND REHAB,267,,,
MSH- AMBULATORY CARE,Dermatology,17 E 102ND ST DERMATOLOGY,1169,,,
MSH- AMBULATORY CARE,Gastroenterology,17 E 102ND ST GASTRO,634,,,
MSH- AMBULATORY CARE,Gerontology,17 E 102ND ST GERIATRICS,3171,,,
MSH- AMBULATORY CARE,Psych Shared,17 E 102ND ST IMA DEPRESSION CLINIC,295,,,
MSH- AMBULATORY CARE,Psych Shared,17 E 102ND ST IMA PSYCH,222,,,
MSH- AMBULATORY CARE,Infectious Diseases/HIV,17 E 102ND ST INFECTIOUS DISEASE,15,,,
MSH- AMBULATORY CARE,Neurology,17 E 102ND ST NEUROLOGY MS,20,,,
MSH- AMBULATORY CARE,Rheumatology,17 E 102ND ST RHEUMATOLOGY,2485,,,
MSH- AMBULATORY CARE,Oncology,17 E 102ND ST SICKLE CELL CLINIC,111,,,
MSH- AMBULATORY CARE,Surgery,17 E 102ND ST WOUND CARE CLINIC,218,,,
MSH- AMBULATORY CARE,Infectious Diseases/HIV,275 7TH AVE CTMS,1781,,,
MSH- AMBULATORY CARE,Infectious Diseases/HIV,275 7TH AVE IAM,5341,,,
MSH- AMBULATORY CARE,Psychiatry,275 7TH AVE PSYCH,11,,,
MSH- AMBULATORY CARE,Physical Therapy,5 E 102 MSH PHYISCAL THERAPY,218,,,
MSH- AMBULATORY CARE,Physical Therapy,5 E 102 MSH PHYSICAL THERAPY,83,,,
MSH- AMBULATORY CARE,Occupational Therapy,5-17 E 102 MSH OCCUPATIONAL THERAPY,129,,,
MSH- AMBULATORY CARE,*No specialty,HOSP ADOL DENTAL,0,,,
MSH- AMBULATORY CARE,Ophthalmology,HOSP ADOL OPTOMETRY,10,,,
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP ADOL PRENATAL,0,,,DEACTIVATE?
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP ADOLESCENT MEDICAL,5342,,,
MSH- AMBULATORY CARE,Child Adolescent Psychiatry,HOSP ADOLESCENT MENTAL HEALTH,2863,,,
MSH- AMBULATORY CARE,Adolescent Medicine,HOSP ADOLESCENT PROJECT IMPACT,0,,,
MSH- AMBULATORY CARE,Dermatology,HOSP DERMATOLOGY,0,,,
MSH- AMBULATORY CARE,ENT-Otolaryngology,HOSP ENT AUDIOLOGY,167,,,
MSH- AMBULATORY CARE,Genetics,HOSP GENETICS,292,,,
MSH- AMBULATORY CARE,Gynecology,HOSP GYNECOLOGY,0,,,
MSH- AMBULATORY CARE,Allergy,HOSP IMMUNOLOGY/ALLERGY,208,,,
MSH- AMBULATORY CARE,Neurology,HOSP NEURO HEAD,56,,,
MSH- AMBULATORY CARE,Neurology,HOSP NEURO MOVE DIS,28,,,
MSH- AMBULATORY CARE,Neurology,HOSP NEURO SEIZURE,76,,,
MSH- AMBULATORY CARE,Neurology,HOSP NEURO STROKE,0,,,
MSH- AMBULATORY CARE,Neurology,HOSP NEUROLOGY,651,,,
MSH- AMBULATORY CARE,Neurosurgery,HOSP NEUROSURGERY,88,,,
MSH- AMBULATORY CARE,Obstetrics,HOSP OB COVID,391,,,
MSH- AMBULATORY CARE,Orthopedics,HOSP ORTHOPEDICS,1354,,,
MSH- AMBULATORY CARE,Orthopedics,HOSP ORTHOPEDICS PEDS,311,,,
MSH- AMBULATORY CARE,Peds Child Development,HOSP PED CHILD DEVELOP,0,,,
MSH- AMBULATORY CARE,Peds Allergy,HOSP PEDS ALLERGY,0,,,
MSH- AMBULATORY CARE,Peds Family and Child Support,HOSP PEDS CFSP,0,,,DEACTIVATE?
MSH- AMBULATORY CARE,Peds Chest,HOSP PEDS CHEST,0,,,
